Name,numberOfElements,insertionTime,searchTime
std::map, 1, 5, 5
std::map, 5001, 1, 21
std::map, 10001, 1, 1
std::map, 15001, 1, 1
std::map, 20001, 1, 2
std::map, 25001, 1, 24
std::map, 30001, 1, 2
std::map, 35001, 2, 2
std::map, 40001, 1, 2
std::map, 45001, 2, 3
std::map, 50001, 2, 2
std::map, 55001, 2, 1
std::map, 60001, 1, 2
std::map, 65001, 2, 2
TreeMap, 1, 4, 9
TreeMap, 5001, 1, 1
TreeMap, 10001, 2, 1
TreeMap, 15001, 1, 1
TreeMap, 20001, 1, 1
TreeMap, 25001, 2, 2
TreeMap, 30001, 3, 2
TreeMap, 35001, 3, 1
TreeMap, 40001, 3, 2
TreeMap, 45001, 3, 1
TreeMap, 50001, 2, 2
TreeMap, 55001, 4, 22
TreeMap, 60001, 3, 2
TreeMap, 65001, 3, 2
